excel_row,source,owner,dc_name,country,city,address,lat,long,match_count,matched_excel_rows,matched_names,matched_owners
1024,DC Byte,EdgeConneX,Bukit Jalil,Malaysia,null,"Jalan Tekno Usahawan 1, Kuala Lumpur, Malaysia 57000",3.046733716,101.6780453,0,,,
1025,DC Byte,AIMS,Bukit Jalil,Malaysia,Kuala Lumpur,"Technology Park Malaysia, 43300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.048735947,101.6966761,1,14502,Jaring Data Center,Everworks
1026,DC Byte,EXSIM,Hyperscale Data Centre (EX1/EX2/EX3),Malaysia,Kuala Lumpur,"35, Jalan Jalil Sutera 2, Jalil Sutera, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.060707622,101.6719054,1,14026,Hyperscale Data Center,Exsim Development Sdn. Bhd.
1027,DC Byte,I-Berhad,Hyperscale Data Center 2 & 3,Malaysia,Shah Alam,i-City South,3.063507384,101.4827113,1,19797,Shah Alam,Powerware Systems Sdn. Bhd.
1028,DC Byte,Strateq-HDC,DC-2 (I-City),Malaysia,Shah Alam,"M-03-03, Block M, No 6, Persiaran Multimedia, i-City, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia",3.065937391,101.4855851,2,11549; 19795,DC1; Shah Alam,"MaxisIT, Inc.; HDC Data Centre Limited"
1029,DC Byte,Basis Bay,DC Infra I-Glenmarie,Malaysia,Shah Alam,"6, Jalan Pengacara U1/48, Temasya Industrial Park, 40150 Shah Alam, Selangor, Malaysia",3.087305304,101.5751281,1,20893,Temasya Glenmarie,Basis Bay Sdn Bhd
1030,DC Byte,Basis Bay,DC Infra 2-Glenmarie,Malaysia,Shah Alam,"Jalan Perintis U1/52, Kawasan Perindustrian Temasya, 40150 Shah Alam, Selangor, Malaysia",3.090493,101.5792317,1,20893,Temasya Glenmarie,Basis Bay Sdn Bhd
1031,DC Byte,NEXTDC,KL1,Malaysia,Petaling Jaya,"222 Jalan, Petaling Jaya, Malaysia",3.094365324,101.6287952,4,14926; 14928; 14929; 14930,KL1; KL2; KL3; KL4,NEXTDC Limited; NEXTDC Limited; NEXTDC Limited; NEXTDC Limited
1032,DC Byte,Telekom Malaysia,KJDC,Malaysia,Petaling Jaya,"Jalan SS 6/3, Ss 6, 47301 Petaling Jaya, Selangor, Malaysia",3.099965391,101.5991068,0,,,
1033,DC Byte,EXSIM,Sri Permaisuri,Malaysia,Kuala Lumpur,"Jalan Sri Permaisuri, Kuala Lumpur",3.10264042,101.715762,0,,,
1034,DC Byte,HeiTech Managed Services,Village 2,Malaysia,Shah Alam,"No 1, Jalan Astaka U8/81, Seksyen U8, 40150 Shah Alam, Selangor, Malaysia",3.108566077,101.5464064,1,13574,HeiTech Village 2,HeiTech Padu Berhad
