Facility Owner,Count,% of Total,Search Company Name
"Tianjin Troila Information Technology Co.,Ltd.",6,0.04,Tianjin Troila Information Technology
Wood NN,6,0.04,Wood NN
Herbata Ltd.,6,0.04,Herbata
International Business Machines Corporation,6,0.04,IBM
Internet Thailand Public Company Limited,6,0.04,Internet Thailand
"Soluna Holdings, Inc.",6,0.04,Soluna
Chengdixiangjiang,6,0.04,Chengdixiangjiang
"CalEthos, Inc.",6,0.04,CalEthos
PCCW Limited,6,0.04,PCCW
Engineering.IT S.p.A.,6,0.04,Engineering.IT
PT Mora Telematika Indonesia,6,0.04,PT Mora Telematika Indonesia
Open Access Data Centres (OADC),6,0.04,Open Access Data Centres
Paratus Group Holdings LTD,6,0.04,Paratus Group
Schwarz Digits KG,6,0.04,Schwarz Digits KG
START Campus,6,0.04,START Campus
Thésée Datacenter,6,0.04,Thésée Datacenter
Tianfu Cloud,6,0.04,Tianfu Cloud
Wuxiang Cloud Valley Co. Ltd,6,0.04,Wuxiang Cloud Valley
Facility Gateway Corporation,5,0.04,Facility Gateway
Fuzion A/S,5,0.04,Fuzion A/S
TDF SAS,5,0.04,TDF
Adam Ecotech Sa,5,0.04,Adam Ecotech
"ADISTA, S.A.S.",5,0.04,ADISTA
Bezeq International Ltd.,5,0.04,Bezeq International
RT-One,5,0.04,RT-One
Akquinet Outsourcing Ggmbh,5,0.04,Akquinet Outsourcing Ggmbh
Akton Communications d.o.o.,5,0.04,Akton Communications
CITIC Telecom CPC Netherlands B.V.,5,0.04,CITIC Telecom CPC Netherlands
NS Solutions Corporation,5,0.04,NS Solutions
Pt. Tifa Arum Realty,5,0.04,Pt. Tifa Arum Realty
Exponential Digital LLC,5,0.04,Exponential Digital
Pure Data Centres Group Ltd,5,0.04,Pure Data Centres
Cable & Wireless Worldwide Limited,5,0.04,Cable and Wireless Worldwide
Go4hosting,5,0.04,Go4hosting
"Beijing Dahao Technology Corp.,Ltd",5,0.04,Beijing Dahao Technology
Host - It Limited,5,0.04,Host - It
Liverpool City Region Data Centres Limited,5,0.04,Liverpool City Region Data Centres
Proximus PLC,5,0.04,Proximus
Tessellis S.p.A.,5,0.04,Tessellis
CapitaLand India Trust,5,0.04,CapitaLand
HKCOLO Limited,5,0.04,HKCOLO
Headwaters Site Development,5,0.04,Headwaters Site Development
CSF Group plc,5,0.04,CSF Group
CE Colo Czech s.r.o.,5,0.04,CE Colo Czech s.r.o
Evoque,5,0.04,Evoque
"Peace Communications, LLC",5,0.04,Peace Communications
Cibicom A/S,5,0.04,Cibicom A/S
TECfusions Inc,5,0.04,TECfusions
Cluster Power S.R.L.,5,0.04,Cluster Power
Comarch S.A.,5,0.04,Comarch
ARTERIA Networks Corporation,5,0.04,ARTERIA Networks
"Riot Platforms, Inc.",5,0.04,Riot Platforms
CommCorp Comunicacoes Ltda.,5,0.04,CommCorp Comunicacoes Ltda
Westdale 2020 Live Oak LP,5,0.04,Westdale 2020 Live Oak
DXN Limited,5,0.04,DXN
FPT Corporation,5,0.04,FPT
OPCORE SAS,5,0.04,OPCORE
Tet,5,0.04,Tet
Beeline,5,0.04,Beeline
"Caronet, Inc.",5,0.04,Caronet
Aql Wholesale Limited,5,0.04,Aql Wholesale
"Beijing CloudVSP Technology Co., Ltd.",5,0.04,Beijing CloudVSP Technology
123.Net Inc.,5,0.04,123.Net
"Diode Ventures, LLC",5,0.04,Diode Ventures
Rising Realty Partners LLP,5,0.04,Rising Realty Partners
Data in Park,5,0.04,Data in Park
Bahnhof AB (publ),5,0.04,Bahnhof
Singapore Telecommunications Limited,5,0.04,Singapore Telecommunications
Rai Way S.p.A.,5,0.04,Rai Way
"Hudson Interxchange, LLC",5,0.04,Hudson Interxchange
Ndc-Garbe Data Centers Europe Gmbh,5,0.04,Ndc-Garbe Data Centers Europe
TeraGo Inc.,5,0.04,TeraGo
"Hangzhou Netbank Interlink Technologies Co., Ltd",5,0.04,Hangzhou Netbank Interlink Technologies
StratITsphere Data Center Solutions LLC,5,0.04,StratITsphere Data Center Solutions
Pi Datacenters Private Limited,5,0.04,Pi Datacenters
HIVE Digital Technologies Ltd.,5,0.04,HIVE Digital Technologies
Bynet Data Communications Ltd.,5,0.04,Bynet Data Communications
Dirui Data,5,0.04,Dirui Data
Lanwan Cloud,5,0.04,Lanwan Cloud
Jaguar Network SAS,5,0.04,Jaguar Network
MEEZA,5,0.04,MEEZA
MedOne,5,0.04,MedOne
Sovereign Digital Infrastructure,5,0.04,Sovereign Digital Infrastructure
noris network AG,5,0.04,noris network
Hunan Centry Cloud Big Data,5,0.04,Hunan Centry Cloud Big Data
Omega Telecom,5,0.04,Omega Telecom
Arizona State Retirement System,5,0.04,Arizona State Retirement System
Pakistan Telecommunication Company Limited,5,0.04,Pakistan Telecommunication
Lincoln Property Company Commercial LLC,5,0.04,Lincoln Property Company Commercial
Neterra EOOD,5,0.04,Neterra EOOD
"SDC Capital Partners, LLC",5,0.04,SDC Capital Partners
Shonfeld Data Services,5,0.04,Shonfeld Data Services
Conapto AB,5,0.04,Conapto
"Teléfonos de México, S.A.B. de C.V.",5,0.04,"Teléfonos de México, S"
C/D/H,5,0.04,C/D/H
wingu.africa,4,0.03,wingu.africa
"Rackspace US, Inc.",4,0.03,Rackspace US
Batelco (Bahrain Telecommunications Company),4,0.03,Batelco
Atmosphere DC Holdings LLC,4,0.03,Atmosphere DC
American Tower Corporation,4,0.03,American Tower
Aq Compute Holding Norway,4,0.03,Aq Compute Holding Norway
Sudanese Mobile Telephone (Zain) Company Limited,4,0.03,Sudanese Mobile Telephone
"Sentinel Data Centers, LLC",4,0.03,Sentinel Data Centers
Virtual Citadel Inc.,4,0.03,Virtual Citadel
"LOGIX Communications, L.P.",4,0.03,LOGIX Communications
Lancom,4,0.03,Lancom
Blix Solutions As,4,0.03,Blix Solutions
AS Levira,4,0.03,AS Levira
"Vision Net, Inc.",4,0.03,Vision Net
Centeris Data Centers,4,0.03,Centeris Data Centers
Earthlink Holdings Corp.,4,0.03,Earthlink
Serverhouse Ltd.,4,0.03,Serverhouse
Iplan Networks S.A.,4,0.03,Iplan Networks
Dandemutande Investments (Private) Limited,4,0.03,Dandemutande Investments
IREN Limited,4,0.03,IREN
"Beijing Topnew Info & Tech Co., Ltd.",4,0.03,Beijing Topnew Info and Tech
TopServers,4,0.03,TopServers
"Hulic Co., Ltd.",4,0.03,Hulic
DayOne Data Centers Singapore Pte. Ltd.,4,0.03,DayOne Data Centers Singapore
Cloud Europe S.R.L.,4,0.03,Cloud Europe
CMC Telecommunication Infrastructure Corporation,4,0.03,CMC Telecommunication Infrastructure
Grupo Codisa,4,0.03,Grupo Codisa
CS Loxinfo Public Company Limited,4,0.03,CS Loxinfo
Ceske Radiokomunikace a.s.,4,0.03,Ceske Radiokomunikace
Empresa de Telecomunicaciones de Bogotá S.A. E.S.P.,4,0.03,Empresa de Telecomunicaciones de Bogotá S.A. E.S.P
PAIX Inc.,4,0.03,PAIX
"Ntirety, Inc.",4,0.03,Ntirety
CleanArc Data Centers LLC,4,0.03,CleanArc Data Centers
DaSTOR LLC,4,0.03,DaSTOR
Mobile TeleSystems Public Joint Stock Company,4,0.03,MTS
Hexatom SARL,4,0.03,Hexatom
TelOne,4,0.03,TelOne
S.C. Orange România S.A.,4,0.03,S.C. Orange România
GleSYS AB,4,0.03,GleSYS
Datahouse,4,0.03,Datahouse
"O2 Czech Republic, a.s.",4,0.03,O2 Czech Republic
Invitech,4,0.03,Invitech
Lehr Consultants International (Australia) Pty Ltd,4,0.03,Lehr Consultants International
"Virtustream, Inc.",4,0.03,Virtustream
"Nexcess.Net, LLC",4,0.03,Nexcess.Net
"US Signal Company, L.L.C.",4,0.03,US Signal
Raiffeisen Informatik GmbH & Co KG,4,0.03,Raiffeisen Informatik GmbH and Co KG
Lotte Data Communication Company,4,0.03,Lotte Data Communication
"Cyxtera Technologies, Inc.",4,0.03,Cyxtera Technologies
